idCentro,director,nombre,direccion,poblacion
1,1,C1,9 Debs Trail,Nularan
2,2,C2,98 Montana Alley,Sabangan
3,3,C3,088 Lukken Center,Kelungkung
4,4,C4,976 Atwood Crossing,Ode
5,5,Design & Style. ,21 Coolidge Way,Samut Sakhon
6,6,Canon,10 Monica Road,El Retorno
7,7,Sony,12092 Bartelt Alley,Hikkaduwa
8,8,NTTData,39 Luster Parkway,Świętochłowice
9,9,AxarNet,2 Barnett Circle,Gen Arenales
10,10,Digival,31668 Summerview Drive,Banjar Petak
11,11,Nerion,32 Karstens Circle,Oli
12,12,Recol,1452 Michigan Plaza,Mykolayiv
13,13,Google,0457 Arkansas Terrace,Jardim da Serra
14,14,Samsin,6405 Redwing Circle,Qaryat al Qābil
15,15,Fila,97985 Lake View Park,Yidu
16,16,Visa,14 Moland Hill,Machachi
17,17,Lego,7749 Mallard Plaza,Namie
18,18,Rastreator,0 Bayside Park,Chur
19,19,Imaginarium,81 Warbler Court,Shāhīn Dezh
20,20,eDreams,637 Mccormick Parkway,Ylitornio
